ID,Listing Name,Host ID,Host Name,Borough,Neighborhood,Latitude,Longitude,Room Type,Price,Min Nights,Number of Reviews,Last Review,Reviews Per Month,Listings Per Host,Days Available
5639548,Amazing Cozy Classic NY Apartment,28771158,Samuel,Manhattan,Upper West Side,40.78654975,-73.96977884,Entire home/apt,210,3,6,26/05/2015,2.9,1,330
3299086,"Easy Access, Private Bohemian Room",6027799,Ali,Brooklyn,Downtown Brooklyn,40.69150862,-73.99125403,Private room,70,1,0,,,1,275
1139677,Spectacular 4 Story Garden Pagoda,11258344,David,Brooklyn,Crown Heights,40.67955642,-73.95753461,Entire home/apt,850,3,15,5/05/2015,0.8,3,358
537324,WOMEN ONLY. 6 Mins from JFK Airport,2161129,Camilla,Queens,Richmond Hill,40.70041869,-73.81648713,Private room,55,1,104,12/05/2015,2.9,3,286
921074,"Close to Manhattan-""D"" Room",3625735,Marianne,Staten Island,Concord,40.60077935,-74.09090995,Private room,55,1,33,10/04/2015,1.4,6,334
2643825,Perfect stay in the heart of NYC,6943904,Evan  (Iv),Manhattan,Upper East Side,40.76424538,-73.96466891,Entire home/apt,245,1,34,12/05/2015,2.4,1,365
4611546,Bridge view in modern Williamsburg,9910168,Hanna,Brooklyn,Williamsburg,40.71311153,-73.96690896,Private room,106,3,2,17/05/2015,0.5,1,359
5639763,Sunny Cruelty-Free room in Brooklyn,29227295,Dzmitry,Brooklyn,Borough Park,40.63258211,-74.00762268,Private room,40,7,0,,,1,303
275339,Renting a wonderful room on UES,1439222,Virginia,Manhattan,Upper East Side,40.77233907,-73.95701647,Private room,110,30,0,,,1,262
4181335,Huge Midtown 2BR/2BA Sleep 7,21258984,Cristina,Manhattan,Kips Bay,40.74143351,-73.98329271,Entire home/apt,350,1,22,10/05/2015,2.8,3,202
5115666,"Happy, spacious room in NYC",5397764,Beatrice,Manhattan,Harlem,40.82417129,-73.9402024,Private room,40,10,0,,,1,106
134934,Prime Williamsburg Apartment,652842,Giovanni,Brooklyn,Williamsburg,40.71822635,-73.95849388,Entire home/apt,250,3,10,5/05/2015,1.2,1,311
6422520,Big Bedroom with Loft Space,16217541,Max,Brooklyn,Williamsburg,40.70448302,-73.9329804,Private room,70,1,0,,,1,336
833927,★ Large Prime Cozy E Village Apt ★,4363133,Raffi & Stacy,Manhattan,Lower East Side,40.72340069,-73.99143626,Entire home/apt,215,3,60,26/05/2015,2.3,1,213
6362597,Sunny Double Bedroom in the LES,29128221,Louiza,Manhattan,Lower East Side,40.72199573,-73.9877167,Private room,107,1,1,26/05/2015,1,1,344
266756,REAL 2BR-HEART OF SOHO-LITTLE ITALY,1398809,Roberto  Mike,Manhattan,Little Italy,40.71904526,-73.99676504,Entire home/apt,199,1,75,30/11/2014,1.9,1,161
816503,Studio w/ Breakfast Included!!!,3789027,Angelo,Brooklyn,Bedford-Stuyvesant,40.69491967,-73.94883064,Entire home/apt,75,1,51,15/05/2015,1.7,2,282
5650358,Brick Wall One Bedroom,706476,Oleg,Manhattan,Upper East Side,40.78233713,-73.94937751,Entire home/apt,170,1,0,,,1,151
4752249,Beautiful artist brownstone,12112004,Kylie,Brooklyn,Bedford-Stuyvesant,40.68368735,-73.92336123,Private room,150,1,0,,,1,365
6185530,NYC fantastic One Bedroom w/view,24123701,Robert,Manhattan,Hell's Kitchen,40.76890566,-73.98687595,Entire home/apt,250,4,0,,,1,358
5519562,~TIMES SQ CENTRAL~,28406007,Joana,Manhattan,Hell's Kitchen,40.76202266,-73.98979957,Entire home/apt,249,2,8,16/05/2015,3.2,3,341
6437079,Brooklyn Private Room. Cozy & Cute.,7249250,Sara,Brooklyn,Bushwick,40.68288922,-73.90754239,Private room,60,1,0,,,1,354
3337808,Clean & Comfy Modern Townhouse,3655542,Alexis,Brooklyn,Boerum Hill,40.68732112,-73.98254,Entire home/apt,800,4,0,,,1,324
4504087,Sunny NYC Oasis with rooftop views,4036052,Taylor,Manhattan,Upper West Side,40.79360947,-73.97426776,Private room,130,1,1,8/04/2015,0.5,1,341
1021122,Best of Brooklyn-Whole Apartment,4510788,John,Brooklyn,Prospect Heights,40.67411671,-73.96526223,Entire home/apt,119,3,31,26/05/2015,1.2,1,42
1054201,One Bedroom Townhouse Apartment,4165498,L.A.,Manhattan,East Harlem,40.79534606,-73.9327383,Entire home/apt,120,7,26,17/05/2015,1,2,208
4855303,Amazing views in West Village!,4032835,Alton,Manhattan,West Village,40.73796824,-74.00088414,Entire home/apt,300,2,0,,,1,139
4340326,Bright 1 bedroom ,1849331,Harriet,Brooklyn,Brooklyn Heights,40.69395998,-73.99719761,Entire home/apt,150,7,0,,,1,204
